Bevanda al malto e cacao, arricchita di vitamine e minerali, polvere (Media di prodotti commerciali) Bevande analcoliche/Bevande a base d'estratto di malto	100	8.9	3.6	76.2	4.4	0	52.1	2.4	200	4	660	470	59	valorinutritivi.ch
Bevanda al malto e cacao, arricchita di vitamine e minerali, preparata (con latte) Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Bevande a base d'estratto di malto	100	3.6	3.4	9.6	0.3	0	8	2.1	50	12	190	120	93	valorinutritivi.ch
Bevanda al riso, al naturale Latte e prodotti di latte/Prodotti sostituti del latte	100	0.4	1.1	9.9	0.4	0	6.6	0.1	22	0	16	10	51	valorinutritivi.ch
Bevanda alla soia, naturale Latte e prodotti di latte/Prodotti sostituti del latte	100	3.9	2.2	0.8	0.6	0	0.8	0.3	26	0	120	54	7.6	valorinutritivi.ch
Bevanda gassata a base di cola edulcorata Bevande analcoliche/Bevande a ridotto contenuto calorico	100	0	0	0	0	0	0	0	5	0	1	8	11	valorinutritivi.ch
Bevanda gassata a base di cola zuccherata Bevande analcoliche/Bevande zuccherate	100	0	0	10	0	0	10	0	9	0	1	15	10	valorinutritivi.ch
Biber Dolciumi/Altre pasticceri dolci	100	7.8	5.6	65.6	3	0.7	36.9	0.7	6	22	140	97	37	valorinutritivi.ch
Bietola da coste, cruda Verdure/Verdure fresche	100	2.1	0.2	2.7	1	0	0.5	0	170	0	380	43	100	valorinutritivi.ch
Bietola, al vapore (senza aggiunta di sale) Verdure/Verdure cotte (incl. conserve)	100	2.6	0.3	3.4	1.2	0	0.6	0	190	0	420	54	130	valorinutritivi.ch
Birchermüesli, preparato (non zuccherato) Cibi/Muesli e pappa	100	2.6	3.2	11.2	1.9	0	8.3	1.2	20	5	160	75	46	valorinutritivi.ch
Birra ai cinque cereali Bevande alcoliche/Birra	100	0.6	0	2	0.2	4.1	2	0	1.4	0	43	16	11	valorinutritivi.ch
