Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, carne macinata, cotta in padella (senza aggiunta di grassi o sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,884,211,8.9,3.8,4,0.6,89,0,0,0,0,32.6,0.2,0,58.5,7,6,6,9,9,0.05,0.16,0.32,1.57,4.9,13.5,0.39,0,0.4,0.23,290,82,79,7.1,23,220,3,4.8,7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, carne macinata, cruda",Carne e frattaglie/Manzo,,per 100 g di parte edibile,645,154,7.5,3.2,3.4,0.5,56,0,0,0,0,21.6,0.2,0,69.7,8,7,6,10,10,0.06,0.12,0.45,1.41,3.86,10,0.31,0,0.5,0.26,310,61,50,5,17,160,2,3,4.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, collo, spezzatino (gulash), crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,626,150,8.1,4,3.3,0.3,60,0,0,0,0,19.3,0.1,0,71.7,7,6,5,10,10,0.09,0.19,0.18,4.8,5.2,3,0.57,0,tr.,0.46,300,45,54,6.8,18,160,2.1,0.2,5.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, entrecôte, cotta, cottura media (senza aggiunta di grassi o sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,684,162,4.6,2.2,2.3,0.4,63,0,0,0,0,30.2,0.1,0,65.2,5,4,4,8,8,0.03,0.12,0.45,1.34,5.48,7,0.76,0,0.4,0.68,290,49,74,6,23,210,1.7,4.1,4.7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, entrecôte, crudo ",Carne e frattaglie/Manzo,,per 100 g di parte edibile,561,133,4.5,2.2,2.2,0.4,46,0,0,0,0,23.2,0.1,0,71,7,6,<5,10,10,0.05,0.1,0.73,1.4,5,6,0.69,0,0.5,0.9,360,42,54,4.9,20,180,1.3,3,3.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, fegato, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,581,138,3.9,1.4,0.6,0.8,354,5.3,0,0,0,20.5,0.3,0,69.1,4259,4179,4100,951,nd,0.28,2.88,0.83,65,14.7,220,7.3,23,1.7,0.75,290,120,90,7,17,360,7,13,4.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, fettina, cruda",Carne e frattaglie/Manzo,,per 100 g di parte edibile,469,111,2.3,1.1,0.9,0.1,55,0,0,0,0,22.6,0.1,0,74,7,6,5,10,10,0.09,0.17,tr.,2.2,4.5,9.9,0.59,tr.,tr.,tr.,360,50,170,3.8,23,200,2.2,3,3.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, filetto, cotto in padella, cottura media (senza aggiunta di grassi o sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,543,128,2,0.9,0.9,0.1,47,0,0,0,0,27.7,0.1,0,70.4,6,5,4,9,9,0.08,0.15,0.13,2,4.91,11.3,1.07,0,0,0.18,330,48,73,3.6,25,190,2.9,0.1,5.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, filetto, crudo ",Carne e frattaglie/Manzo,,per 100 g di parte edibile,444,105,2,0.9,0.9,0.1,35,0,0,0,0,21.9,0.1,0,75.1,7,6,5,10,10,0.1,0.13,0.19,2,4.6,10,1,0,tr.,0.24,340,42,55,3,22,160,2.3,0.1,4.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, girello, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,447,106,1.8,0.8,0.8,0.3,52,0,0,nd,0,22.4,0.1,0,73.8,7,6,5,10,10,0.02,0.12,0.63,1.4,nd,6,0.72,0,0.5,0.9,380,39,54,5.1,20,190,1,3,2.8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, lingua, cruda",Carne e frattaglie/Manzo,,per 100 g di parte edibile,816,196,13,4.7,6,1.1,108,3.7,0,0,0,16,0.2,0,66.4,16,14,12,24,24,0.13,0.29,0.13,5,4.6,7,2,3,tr.,0.26,260,80,13,10,18,160,3,2.3,2.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, per bollito, magro, bollito (senza aggiunta di grassi e sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,801,190,7.1,3.3,2.8,0.6,98,0,0,nd,0,31.7,0.1,0,61.2,9,7,6,13,13,0.02,0.15,0.39,1.4,nd,6.5,0.62,0,0.6,0.33,280,48,90,5.9,19,200,2.8,5,7.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, per bollito, magro, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,555,132,5.5,2.5,2.2,0.5,59,0,0,nd,0,20.7,0.1,0,71.2,7,6,5,10,10,0.04,0.13,0.55,1.4,nd,6,0.74,0,0.5,0.26,320,57,54,4.4,18,180,1.7,3,4.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, per bollito, misto, bollito (senza aggiunta di grassi o sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,1150,276,18.9,7.9,8.7,1.2,80,0,0,nd,0,26.6,0.1,0,54.5,8,7,6,11,11,0.02,0.16,0.32,1.27,5.3,5.9,0.67,0,0.5,0.3,230,41,82,5,16,160,1.8,4.5,5.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, per bollito, misto, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,946,227,16.6,7,7.6,1,53,0,0,nd,0,19.5,0.2,0,61.7,7,6,5,10,10,0.04,0.13,0.53,1.4,7,6,0.74,0,0.5,0.26,300,60,54,4.1,18,160,1.2,3,3.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, petto, cotto (senza aggiunta di grassi e sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,1060,254,15.6,6.7,7.4,0.6,100,0,0,0,0,28.3,0.1,0,56,8,7,6,13,13,0.06,0.24,0.11,4.6,3.91,3.3,0.53,0,0,0.53,230,36,88,5.3,18,210,3.6,0.5,8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, petto, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,784,188,12.5,5.4,5.9,0.5,60,0,0,0,0,18.9,0.1,0,67.7,7,6,5,10,10,0.09,0.18,0.17,4.6,4.7,3,0.53,0,tr.,0.43,270,48,53,4,18,190,2.2,0.3,4.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, sminuzzato, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,433,102,1.5,0.6,0.6,0.3,56,0,0,nd,0,22.2,0.1,0,74,7,6,<5,10,10,0.08,0.13,0.26,1.18,5.03,6,0.74,0,0.5,0.26,360,44,50,4.2,20,190,1.4,3,3.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, spalla, arrostita al forno, ben cotta (senza aggiunta di grassi o sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,717,170,4.2,1.5,1.7,0.3,98,0,0,0,0,33.1,0.2,0,62.7,7,6,5,10,10,0.08,0.27,0.16,6.05,6.58,4.1,0.77,0,0,0.28,350,69,89,5.8,26,300,2.8,0.2,9.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, spalla, arrostita al forno, cottura al sangue (senza aggiunta di grassi o sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,570,135,3.3,1.2,1.4,0.3,78,0,0,0,0,26.3,0.1,0,70.4,6,5,4,8,8,0.07,0.21,0.13,4.81,5.23,3.3,0.62,0,0,0.22,280,54,71,4.6,21,240,2.2,0.1,7.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, spalla, arrostita al forno, cottura media (senza aggiunta di grassi o sale)",Carne e frattaglie/Manzo,,per 100 g di parte edibile,617,146,3.6,1.3,1.5,0.3,85,0,0,0,0,28.5,0.1,0,67.9,6,5,5,9,9,0.07,0.23,0.14,5.21,5.67,3.5,0.67,0,0,0.24,300,59,76,5,22,260,2.4,0.1,8.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, spalla, arrosto, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,495,117,3.5,1.2,1.4,0.3,61,0,0,0,0,21.6,0.1,0,73.8,7,6,5,10,10,0.09,0.19,0.19,5,5.1,3,0.6,0,tr.,0.31,300,50,55,4,19,210,1.8,0.1,5.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manzo, spezzatino, crudo",Carne e frattaglie/Manzo,,per 100 g di parte edibile,409,97,1.3,0.6,0.6,0.3,54,0,0,nd,0,21.2,0.1,0,74.2,7,6,5,10,10,0.01,0.12,0.42,1.4,nd,6,0.74,0,0.5,0.26,350,49,50,3.9,18,180,1.2,3,3.7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margarina,Grassi e oli/Grassi,0.9,per 100 g di parte edibile,2980,724,80,22.3,37.3,14,0,<0.5,0,<0.5,0,<0.5,0.2,0,20,860,830,800,360,360,0.01,0.03,0,0.1,0.21,2,0.08,0,5,20,42,67,100,10,1.8,23,0.1,1.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmellata,Dolciumi/Confettura e prodotti dolci da spalmare sul pane,1.4,per 100 g di parte edibile,1040,246,0.5,tr.,tr.,tr.,0,58.7,58.7,0,2.2,0.5,0,0,36,9,5,0,56,56,0.02,0.02,tr.,0,0.9,tr.,0.03,4,0,0,100,12,2,18,2,7,1.4,1,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marmellata, a valore energetico ridotto con edulcoranti",Dolciumi/Confettura e prodotti dolci da spalmare sul pane,1.4,per 100 g di parte edibile,576,136,0.5,tr.,tr.,tr.,0,31.9,31.9,tr.,0.8,0.5,0.1,0,65.3,9,5,0,56,56,tr.,tr.,tr.,0,tr.,tr.,0.05,26,0,0,120,20,3,19,1,15,0.4,2,tr.,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzapane,Dolciumi/Altri dolciumi,,per 100 g di parte edibile,1990,474,17.6,1.5,12,3.3,tr.,68.6,68.6,0,4.9,8,0,0,1.9,13,13,12,6,6,0.07,0.2,0.05,tr.,1.36,31,0.19,0.3,tr.,8.49,270,2,14,82,72,150,1.5,0.7,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascarpone,Latte e prodotti di latte/Formaggio fresco e quark,,per 100 g di parte edibile,1790,435,44.5,29.5,11.7,1.9,123,4.1,4.1,0,0,4.5,0.2,0,46.2,347,328,310,220,220,0.01,0.26,0.04,0.33,0.1,11,0.41,tr.,0.5,1,53,86,tr.,68,tr.,97,0.2,29,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mela cotogna, cotta, sgocciolata (senza aggiunta di zucchero)",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,174,42,0.3,0,0.1,0.1,0,6.3,6.3,0,6.4,0.4,0,0,86.7,0,0,0,0,nd,0.02,0.02,0.04,0,0.2,5,0.1,7.5,0,0.5,150,2.3,2.1,17,6,19,0.3,1.3,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mela cotogna, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,171,41,0.2,tr.,0.1,0.1,0,6.3,6.3,tr.,6.4,0.3,0,0,84.2,0,0,0,0,nd,0.02,0.02,0.04,0,0.2,8,0.1,15,0,0.4,200,3,1.7,14,6,19,0.3,1,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mela, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,232,55,0.3,0.1,0,0.1,0,11.7,11.6,0.1,2.1,0.3,0,0,85,4,2,0,22,20,0.02,0.01,0.04,0,0.09,13,0.09,7,0,0.5,120,4,2.2,5,4,9,0.2,0.8,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melanzana, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,98,23,0.2,0,0,0.1,0,3.2,2.9,0.3,2.4,1,0,0,93.2,8,4,0,48,48,0.03,0.03,0.07,0,0.52,12.3,0.23,1.5,0,0.03,240,2.7,56,10,13,21,0.2,0.2,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melanzana, cruda",Verdure/Verdure fresche,,per 100 g di parte edibile,96,23,0.2,0,0,0.1,0,3.1,2.8,0.3,2.4,1,0,0,92.7,8,4,0,50,50,0.04,0.03,0.08,0,0.6,19,0.25,1.9,0,0.03,260,3,55,10,13,21,0.3,0.2,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melanzane, stufate (senza aggiunta di grassi o sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,112,27,0.2,0,0,0.1,0,3.6,3.3,0.3,2.8,1.2,0,0,92.2,9,5,0,56,56,0.03,0.03,0.08,0,0.6,14.3,0.26,1.7,0,0.04,260,3.3,65,12,13,25,0.3,0.2,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melassa, sciroppo di melassa",Dolciumi/Confettura e prodotti dolci da spalmare sul pane,1.4,per 100 g di parte edibile,1160,274,0,0,0,0,0,67.2,67.2,0,0,1.2,0.2,0,25.4,0,0,0,0,0,0.08,0.1,0,0,0,0,0,0,0,0,1470,96,820,500,140,31,9.2,0,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mele, cotte, sgocciolate (senza aggiunta di zucchero)",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,248,59,0.4,0.1,0,0.1,0,12.3,12.2,0.1,2.2,0.4,0,0,84.7,4,2,0,22,20,0.01,0.01,0.04,0,0.09,8.6,0.1,3.7,0,0.66,95,3.2,2.9,6.3,4.2,9.5,0.2,1.1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mele, purea, non zuccherata, conserva",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,232,55,0.3,0.1,0,0.1,0,11.7,11.6,0.1,2.1,0.3,0,0,85,nd,nd,nd,nd,nd,0.02,0.02,0.05,0,0.09,6.5,0.09,2.5,0,0.43,110,4,2.2,4.8,4,9,0.2,0.8,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mele, purea, zuccherata, conserva",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,379,89,0.3,0.1,0,0.1,0,20.5,20.4,0.1,1.9,0.3,0,0,76.5,nd,nd,nd,nd,nd,0.02,0.02,0.04,0,0.08,5.9,0.08,2.3,0,0.34,97,3.6,2.1,4.4,3.6,8.1,0.2,0.7,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mele, sbucciate, secche",Frutta/Frutta secca,,per 100 g di parte edibile,1250,295,2,0.5,0.1,1,0,63.2,60,0.1,9.2,1.5,0,0,20,6,3,0,38,38,0.05,0.04,0.13,0,0.44,20,0.28,3.9,0,1.84,520,15,10,15,31,56,2,10,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melone, crudo",Frutta/Frutta fresca,,per 100 g di parte edibile,159,38,0.1,tr.,tr.,tr.,0,8,8,0,0.9,0.7,0,0,90,288,144,0,1730,1730,0.04,0.02,0.07,0,0.7,26,0.13,38.9,0,0.1,300,18,8,14,14,17,0.2,1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Menta, fresca",Verdure/Erbe aromatiche,,per 100 g di parte edibile,205,49,0.7,0.1,0,0.4,0,5.3,5.2,0.1,3,3.8,0,0,86.1,122,61,0,730,730,0.12,0.33,0.05,0,1.1,110,0.19,31,0,5,260,15,34,210,30,75,9.5,4,1.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meringa,Dolciumi/Altri dolciumi,,per 100 g di parte edibile,1700,401,0.5,0,0,0,0,94,94,0,0,5,0.3,0,1,0,0,0,0,0,0,0.25,0,0,0.1,0,0.2,0,0,0,90,100,tr.,4,5,22,0.2,tr.,tr.,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merluzzo bianco, crudo",Pesce/Pesci di mare,,per 100 g di parte edibile,323,76,0.4,0.1,0,0.2,59,0,0,0,0,18.1,0.1,0,81.1,2,2,2,0,0,0.05,0.05,0.14,1.4,2.1,11,nd,0,1.8,0.7,410,53,nd,13,23,200,0.2,160,0.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merluzzo bianco, filetto, al vapore (senza aggiunta di grassi o sale)",Pesce/Pesci di mare,,per 100 g di parte edibile,305,72,0.5,0.1,0,0.2,74,0,0,0,0,17,0.1,0,82.6,2,2,2,0,0,0.05,0.04,0.12,1.4,1.84,9.6,nd,0,2,0.88,380,56,nd,16,24,210,0.2,180,0.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merluzzo nero, crudo",Pesce/Pesci di mare,,per 100 g di parte edibile,339,80,0.3,0.1,0.1,0.1,71,0,0,0,0,19.3,0.1,0,79.2,4,4,4,0,0,0.05,0.05,0.18,1.3,2,10,0.38,0,0.8,0.36,440,40,200,8,14,170,0.2,85,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miele (miele di fiori),Dolciumi/Confettura e prodotti dolci da spalmare sul pane,1.4,per 100 g di parte edibile,1300,306,0,0,0,0,0,76,76,0,0,0.4,0,0,20,0,0,0,0,0,0,0.05,0.3,0,0.2,5.3,0.1,1.7,0,0,47,7,18,5,3,17,0.5,0.5,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miglio, grano sgusciato","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,per 100 g di parte edibile,1520,360,3.9,1,0.9,1.9,0,68.8,1.5,60,3.8,10.6,0,0,12.1,0,0,0,0,0,0.34,0.11,0.32,0,1.8,20,0.38,0,0,0.41,170,3,15,9.5,120,280,6.9,2.5,2.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Migliotto, cotto","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,per 100 g di parte edibile,606,144,3,0.5,1.6,0.7,0,24.8,1.4,19.8,1.5,3.7,0.9,0,67.3,0,0,0,2,2,0.06,0.02,0.07,0,0.5,5.4,0.11,0.4,0,0.56,40,350,530,11,44,95,2.3,1.3,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milanesini,Dolciumi/Biscotti,,per 100 g di parte edibile,1800,431,20.8,11.6,5.1,1.5,124,53.2,22.5,30.4,1.4,7.1,0.1,0,18,183,178,172,70,70,0.08,0.06,0.08,0.23,0.34,8.7,0.43,0,0.6,0.72,100,47,87,18,17,96,1,7.9,0.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millefoglie,Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,1260,301,18.8,11.2,4.6,1,80,28.8,21.3,7.4,0.3,4.1,0.3,0,48.1,205,199,192,76,76,0.03,0.14,0.04,0.25,0.13,6.9,0.37,0.3,0.4,0.54,130,120,200,79,11,88,0.3,9.1,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minestrone,Cibi/Brodi e zuppe,1.1,per 100 g di parte edibile,221,53,1.8,0.7,0.7,0.2,1,7,2.6,4.3,0.4,2,1,0,87.6,143,72,1,850,850,0.02,0.02,0.04,0,0.79,7,0.1,1,0,tr.,110,390,300,14,5,20,0.3,nd,nd,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mirabella (susina gialla), cotta, sgocciolata (senza aggiunta di zucchero)",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,226,54,0.2,0,0,0,0,11,11,0,2.1,0.8,0,0,85.8,28,14,0,167,155,0.04,0.04,0.04,0,0.46,5.8,0.18,3.2,0,0.57,160,0,3.4,13,14,30,0.5,1.1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mirabella (susina gialla), cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,242,57,0.2,tr.,tr.,tr.,0,12,12,0,2.3,0.7,0,0,82.7,32,16,0,194,180,0.06,0.04,0.05,0,0.5,10,0.2,7,0,0.5,230,tr.,3,12,15,33,0.5,1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mirtillo rosso (cranberry), crudo",Frutta/Frutta fresca,,per 100 g di parte edibile,168,40,0.5,0,0.1,0.3,0,7.1,7,0.1,2.9,0.3,0,0,87.5,2,1,0,9,9,0.02,0.02,0.01,0,0.1,3,0.12,12,0,0.99,70,2,4,14,6,10,0.5,5,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
