Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agrumi (in media), crudi",Frutta/Frutta fresca,,per 100 g di parte edibile,176,42,0.2,0,0,0,0,8.3,8.3,0,1.6,0.8,0,0,89,22,11,0,134,134,0.09,0.03,0.05,0,0.32,16.8,0.19,44.5,0,0.42,160,3.3,3.9,34,11,15,0.3,0.9,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albicocca, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,204,48,0.1,tr.,tr.,tr.,0,10,10,tr.,2.1,0.8,0,0,86.7,381,191,0,2287,2225,0.03,0.04,0.06,0,0.42,5.4,0.2,4.7,0,0.7,320,2,1,16,10,20,0.4,0.5,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albicocche, cotte, sgocciolate (senza aggiunta di zucchero)",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,208,49,0.1,0,0,0,0,10,10,0,2.1,1,0,0,86.8,357,179,0,2144,2086,0.02,0.04,0.06,0,0.42,3.4,0.2,2.4,0,0.88,240,1.5,1.3,19,10,20,0.5,0.6,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albicocche, non zuccherate, conserva",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,204,48,0.1,tr.,tr.,tr.,0,10,10,tr.,2.1,0.8,0,0,86.7,122,61,0,729,713,0.03,0.05,0.06,0,0.54,3.5,0.26,3.5,0,0.53,280,2,1,15,10,20,0.4,0.5,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albicocche, secche",Frutta/Frutta secca,,per 100 g di parte edibile,1240,293,0.5,0.2,0.1,0.2,0,59.1,34.3,<0.4,8.3,2.9,0,0,24.7,421,210,0,2525,2525,0.01,0.06,0.17,0,3.11,8.9,0.67,1.7,0,5.52,1370,11,5.4,82,50,110,1.4,2.7,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albicocche, zuccherate, conserva",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,354,83,0.1,tr.,tr.,tr.,0,19,19,tr.,1.9,0.7,0,0,78,122,61,0,729,713,0.03,0.04,0.06,0,0.49,3.2,0.23,3.2,0,0.47,260,1.8,1.1,14,9,18,0.4,0.5,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albume d'uovo, crudo",Uova,,per 100 g di parte edibile,187,44,0.1,tr.,tr.,tr.,0,0.3,0.3,0,0,10.5,0.5,0,87.5,0,0,0,0,0,tr.,0.44,0.01,0.1,0.1,12,0.2,0,0,0,150,190,160,5.1,11,12,0,7.5,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alghe, Nori, secche",Verdure/Verdure secche,,per 100 g di parte edibile,1060,255,1.6,0.2,0.1,0.6,0,10.5,0.5,nd,36.3,31.5,5,0,6.5,4167,2083,0,25000,25000,0.58,1.91,0.53,nd,5.82,21.7,0.25,57.3,0.6,2.87,1730,1980,2970,320,490,520,37,5100,4.5,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amaranto, seme, cotto (senza aggiunta di grassi e sale)","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,per 100 g di parte edibile,500,119,2.1,0.4,0.5,0.8,0,18.1,0.5,17.6,3.5,5,0,0,71.2,0,0,0,0,0,0.02,0.06,0.11,0,0.34,16.2,0.27,1,0,0.4,150,1.9,36,58,84,180,3,0.8,1.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amaranto, seme, crudo","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,per 100 g di parte edibile,1580,376,7,1.5,1.7,2.8,0,56.8,1.7,55.1,11,15.8,0,0,11.1,0,0,0,0,0,0.08,0.19,0.53,0,1.2,64.3,0.95,4.2,0,1.19,480,4,110,160,250,560,9,2.5,3.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
