,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,
Onion mature red skinned peeled raw,300,3.9000000000000004,0,17.4,8.100000000000001,0,17.4,0,24,0,540,0.72,69,Australian Government,85.19999999999999,729,
Aldi Smoked Shortcut Bacon,300,48.6,29.400000000000002,3,0,0,3,11.7,3000,0,0,0,0,Packaging,471,1378,
Oregano dried,3,0.27,0.129,0.792,1.275,0,0.12299999999999998,1.2797999999999998,0.75,0,37.8,1.104,47.910000000000004,Australian Government,5.409000000000001,735,
Capsicum red fresh raw,800,13.600000000000001,1.6,32,14.400000000000002,0,32,0,16,0,1392,2.4,32,Australian Government,196.8,263,
Olive green or black drained,50,1,10.25,0.9000000000000001,1.15,0,0,6.6000000000000005,725,0,33,0.955,26,Australian Government,99.85,727,
Chickpea dried,200,39.4,11,77,41.6,0,4.4,25.4,22,0,792,9.2,318,Australian Government,564.6,313,
Coles Italian Passata Tomato ,700,9.799999999999999,0,39.199999999999996,11.200000000000001,0,11.200000000000001,0,2450,0,2450,0,0,Coles,195.99999999999997,1166,
Stock dry powder or cube,3,0.339,0.267,0.675,0,0,0.129,1.545,552,0,7.5,0.07500000000000001,2.13,Australian Government,6.4590000000000005,1027,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
Chilli Con Carne,6,464.86,78.33999999999999,210.78,114.30000000000001,0,62.03999999999999,852.1,3120.2,1660,7353,28.560000000000002,332.2,Own Recipe,3407.62,1275,567.9366666666666
,,,,,,,,,,,,,,,,#N/A,
Bacon rindless ,260,21.060000000000002,15.6,2.6,0,0,0,6.5,1781,520,0,0,0,Fat secret,235.04000000000002,1505,
Beef mince lower fat raw,1500,343.5,61.49999999999999,0,0,0,0,704.1,1020.0000000000001,1140,5235,23.400000000000002,105.00000000000001,Australian Government,1927.5,70,
Onion mature brown skinned peeled raw,600,7.800000000000001,0,34.8,16.200000000000003,0,34.8,0,48,0,1080,1.44,138,Australian Government,170.39999999999998,728,
Woolworths Tomato Paste Sachets No Added Salt (serving),1,2.2,0.6,4.9,2.6,0,4.9,0.5,25,0,0,0,0,Woolworths,33.8,1682,
Garlic peeled fresh raw,20,1.22,0.5599999999999999,2.04,3.38,0,0.3,7,1.6,0,102,0.34,6,Australian Government,18.08,455,
Chilli chili red raw,20,0.27999999999999997,0.08,0.8400000000000001,2.12,0,0.8400000000000001,0,0.6,0,60,0.22000000000000003,3.2,Australian Government,5.2,317,
Tomato whole canned in tomato juice undrained,400,3.6000000000000005,0,12,4,0,12,134,208,0,876,3.16,80,Australian Government,62.400000000000006,1068,
Mckenzie's Black Beans (100g),400,85.2,0,153.6,86,0,9.2,0,36,0,0,0,0,Woolworths,955.2,1607,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
