3,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Sourdough Bread 70% Hydration + Linseed,80,6.493629629629629,1.6037925925925927,33.438340740740735,0.9706666666666668,0,0.8836740740740741,0.42974814814814805,409.17712592592585,0,29.088,0.20373333333333332,9.429333333333334,Own Recipe,174.1620148148148,1260,,,,,,
Tomato common raw,140,0.84,0,4.2,1.5400000000000003,0,3.5,0,5.6000000000000005,0,294,0.322,15.4,Australian Government,20.16,1060,,,,,,
Oil olive,3,0,2.9970000000000003,0,0,0,0,0.48780000000000007,0,0,0,0,0,Australian Government,26.973000000000003,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 728.829444444445,,,,,,,,,,,,,,,,,,,,,,
Chicken thigh lean flesh raw,190,34.769999999999996,9.5,0,0,0,0,60.61,117.8,150.1,532,1.3299999999999998,19,Australian Government,224.57999999999998,307,,,,,,
Woolworths Basmati Rice (100g),75,4.725,0,59.099999999999994,1.5750000000000002,0,0.15,0,3.75,0,0,0,0,Woolworths,255.29999999999998,1580,,,,,,
Kikkoman Soy Sauce,30,3.0900000000000003,0,2.43,0,0,0.39,0,1937.3999999999999,0,0,0,0,Woolworths,22.080000000000002,1460,,,,,,
Broccolini fresh raw,200,6.4,0.8,4,5,0,2.6,0,32,0,500,1.56,78,Australian Government,48.800000000000004,221,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Brigadeiro,50,4.1194444444444445,6.686111111111111,25.35416666666667,0.38472222222222213,0,25.229166666666668,34.62027777777778,49.986111111111114,18.84722222222222,225.37499999999997,0.48569444444444443,125.66666666666669,Own Recipe,178.06944444444446,1265,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,,,Protein,150,110.3016812962963,,39.698318703703706
,,,,,,,,,,,,,,,,,,Fat,70,58.848715925925916,-4.9016421810699455,11.151284074074084
,,,,,,,,,,,,,,,,,,Carb,220,256.11908407407407,-11.028694907407385,-36.11908407407407
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,19.613858333333337,,13.04814166666667
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,1995.3215048148147,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,110.3016812962963,58.848715925925916,256.11908407407407,19.613858333333337,0,58.23147074074075,233.65934048148145,3378.939799259259,250.66676666666666,2530.6565499999997,10.419729666666667,645.3018333333334,,1995.3215048148145,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
