Food Name,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Calcium,Source,Price,Package Size,Package Size Parsed
Beef topside roast untrimmed roasted no added fat,100,31.3,7.1,0,0,0,0,,52,62,325,2.28,4,Australian Government,,,
Beer full strength alcohol 4-4.9% v/v,100,0.4,0,2.3,0,3.7,0,0,5,0,36,0,4,Australian Government,,,
Beer full strength alcohol 4-4.9% v/v carbohydrate modified,100,0.3,0,1,0,3.6,0,0,4,0,28,0.01,3,Australian Government,,,
Beer high alcohol 5% v/v & above,100,0.5,0,2.1,0,4.5,0.2,0,4,0,55,0.01,4,Australian Government,,,
Beer light alcohol 1- less than 3% v/v,100,0.2,0,2.2,0,2.1,0,0,3,0,27,0,3,Australian Government,,,
Beer mid-strength alcohol 3-3.9% v/v,100,0.3,0,2.2,0,3,0,0,3,0,30,0,4,Australian Government,,,
Beetroot canned in brine drained,100,1.2,0.1,8.9,3.8,0,8.9,0,278,0,116,0.7,12,Australian Government,,,
Beetroot fresh purple peeled raw,100,1.9,0.1,8.4,3.5,0,8.4,0,54,0,290,0.9,8,Australian Government,,,
Beverage base chocolate flavour added vitamins A B1 B2 C & D Ca & Fe Milo,100,12.7,10.4,61.2,9.1,0,47.3,66.6,75,10,825,28.88,738,Australian Government,,,
Beverage base drinking chocolate unfortified,100,5.6,4.8,76.3,1.5,0,74.3,62.8,160,0,690,1.9,41,Australian Government,,,
Beverage chocolate flavour from drinking chocolate with regular fat cows milk,100,3.5,3.5,10.8,0.1,0,10.7,,44,10,177,0.16,100,Australian Government,,,
Beverage chocolate flavour from Milo powder with regular fat cows milk,100,4.2,4,10.9,0.8,0,9.6,,39,10,200,2.59,161,Australian Government,,,
Biscuit savoury from white wheat flour cheese-flavoured,100,12,24.2,56.4,2.9,0,3.2,48.74,871,10,180,1.26,93,Australian Government,,,
Biscuit savoury from white wheat flour flaky cracker style,100,10.5,20.7,63.6,3,0,3.6,49.2,639,7,166,1.75,35,Australian Government,,,
Biscuit savoury from white wheat flour flavoured excluding cheese,100,9.6,24.5,59.7,2,0,5.2,42.29,854,8,195,1.37,56,Australian Government,,,
Biscuit savoury from white wheat flour plain snack cracker style,100,7.7,20.7,66.3,3.4,0,6.7,46.09,609,1,156,1.12,41,Australian Government,,,
Biscuit savoury from white wheat flour water cracker style,100,11.9,9.2,71.9,2.8,0,1.7,60.75,611,3,152,2.25,46,Australian Government,,,
Biscuit savoury from wholemeal wheat flour & rye flour crispbread puffed,100,13.1,3.8,69.1,7.6,0,1.5,26.65,364,0,326,3.2,47,Australian Government,,,
Biscuit savoury from wholemeal wheat flour crispbread,100,9.8,8.8,63.7,9.1,0,1.3,13.85,412,0,338,2,29,Australian Government,,,
Biscuit savoury rice cracker flavoured excluding cheese or seaweed,100,9.6,9.3,75.3,2,0,1.7,20.16,660,0,220,1.1,21,Australian Government,,,
Biscuit savoury rice cracker plain,100,9.6,3.3,75.3,1.6,0,1.7,30.1,660,0,220,1.1,21,Australian Government,,,
Biscuit savoury rice cracker seaweed flavoured,100,9.6,1.2,75.3,1.6,0,1.7,33.54,660,0,220,1.1,21,Australian Government,,,
Biscuit sweet Anzac style homemade from basic ingredients,100,4.7,22.4,63.2,3.1,0,41.1,,210,31,131,0.87,15,Australian Government,,,
Biscuit sweet biscuit base mint filling chocolate-coated,100,5.9,29.4,60.6,0.6,0,42,55.06,117,14,234,1.75,135,Australian Government,,,
Biscuit sweet chocolate chip,100,6.4,22.5,61.4,1.6,0,27.9,60.01,299,14,155,2.15,60,Australian Government,,,
Biscuit sweet plain,100,6.2,15.5,67.5,2,0,25.7,50.84,289,8,158,1.37,36,Australian Government,,,
Biscuit sweet sandwich cream & jam filling,100,4.2,22.5,64.1,1.8,0,33.5,52.6,260,24,85,0.9,27,Australian Government,,,
Biscuit sweet sandwich cream filling chocolate-coated,100,5.3,25.7,64.2,1.4,0,45,59.35,172,14,234,1.75,135,Australian Government,,,
Biscuit sweet wheatmeal,100,7.6,11.7,67,5.6,0,21.6,11.5,423,18,167,2.1,30,Australian Government,,,
Blackberry raw,100,1.4,0.3,7.5,6.1,0,7.5,0,0,0,114,0.42,30,Australian Government,,,
Blue grenadier flesh raw,100,15.2,1.2,0.2,0,0,0.2,32.89,53,38,306,0.88,8,Australian Government,,,
Blue grenadier flesh steamed no added fat,100,20.6,1.2,0.3,0,0,0.3,32.89,47,49,354,0.19,10,Australian Government,,,
Blueberry purchased frozen,100,0.5,0,9.9,3.6,0,9.5,,2,0,77,0.36,11,Australian Government,,,
Blueberry raw,100,0.5,0,9.6,3.5,0,9.2,0,2,0,83,0.35,11,Australian Government,,,
Bok choy raw,100,2.5,0.2,0.6,2.4,0,0.6,0,57,0,250,1.4,83,Australian Government,,,
Bok choy steamed,100,2.6,0.2,0.6,2.6,0,0.6,,56,0,221,1.38,82,Australian Government,,,
Braised steak & onions canned,100,7.2,1.6,4.5,0.8,0,1,49,380,25,160,0.55,12,Australian Government,,,
Bread banana,100,5.7,11,43.1,1.5,0,25.1,18.37,360,43,150,1.6,41,Australian Government,,,
Bread damper from white flour homemade,100,7.5,5.5,42.9,3.3,0,2.9,66.9,630,21,150,0.78,53,Australian Government,,,
Bread flat pita or Lebanese wholemeal commercial,100,8.6,2,47.2,6.4,0,3.1,24.75,470,0,200,2.7,45,Australian Government,,,
Bread flat white commercial,100,9.5,2.1,49.1,3.7,0,3.1,34,498,0,150,1.2,50,Australian Government,,,
Bread from rye flour sour dough,100,9.2,1.6,42.7,5.2,0,2,21.5,510,0,130,1.1,32,Australian Government,,,
Bread from rye flour sour dough toasted,100,10.8,1.9,50.2,6.1,0,2.4,,600,0,153,1.29,38,Australian Government,,,
Bread from wheat flour added dried fruit toasted,100,9.2,4.3,56.1,3.1,0,16.7,,211,0,278,2.36,50,Australian Government,,,
Bread from white flour,100,9.6,1.8,43.8,2.9,0,2.7,16.7,449,0,120,1.48,57,Australian Government,,,
